edad,sexo_bin,indigena_bin,idioma_originario,lee_escribe_bin,hacinamiento,indice_servicios,piso_adecuado,pared_adecuada,internet_bin,log_alquiler,log_ingreso_pc,jefe_anios_estudio,jefe_edad,jefe_sexo,trabajo_bin,area_nombre_Urbana,depto_nombre_Chuquisaca,depto_nombre_Cochabamba,depto_nombre_La Paz,depto_nombre_Oruro,depto_nombre_Pando,depto_nombre_Potosí,depto_nombre_Santa Cruz,depto_nombre_Tarija,asistencia_real,pred_lr,proba_lr,pred_rf,proba_rf
16.0,0,0,1,1,3.0,2,0,0,1,6.2166061010848646,0.0,12.0,39.0,2.0,0,True,False,False,False,False,False,False,False,False,0,0,0.38278774287823203,0,0.4068882352672651
7.0,1,0,1,1,2.0,3,1,1,1,6.2166061010848646,7.630946580890459,12.0,27.0,1.0,0,True,False,False,True,False,False,False,False,False,1,1,0.7481817682849367,1,0.7840888732492506
10.0,1,0,1,1,1.3333333333333333,3,1,1,1,5.860786223465865,0.0,12.0,22.0,2.0,0,True,False,False,False,False,False,False,True,False,1,0,0.49641931508185966,1,0.5138712080799944
10.0,1,0,1,1,1.0,2,1,1,1,7.0909098220799835,7.346655163176539,6.0,39.0,2.0,0,False,True,False,False,False,False,False,False,False,0,0,0.20230422154665975,0,0.2058539501316266
5.0,1,0,1,0,1.2,3,1,1,1,5.707110264748875,5.5254529391317835,10.0,40.0,2.0,0,True,False,False,True,False,False,False,False,False,1,1,0.7027039965105563,1,0.7772724477255791
9.0,1,0,1,1,5.0,1,0,0,1,2.3978952727983707,7.783640596221253,7.0,27.0,1.0,0,False,False,False,False,False,True,False,False,False,0,0,0.4635368561687453,0,0.4533039770066701
8.0,0,0,1,1,2.0,2,1,1,0,4.394449154672439,8.086717920303906,4.0,50.0,1.0,0,False,True,False,False,False,False,False,False,False,0,0,0.31448693906833103,0,0.15379079882949137
13.0,0,0,1,1,0.5555555555555556,3,1,1,1,7.313886831633462,0.0,12.0,39.0,2.0,0,True,False,False,False,False,False,True,False,False,0,0,0.48179464891990237,0,0.40038587670874143
12.0,0,0,1,1,1.0,3,1,1,1,6.2166061010848646,0.0,17.0,50.0,1.0,0,True,False,False,False,False,False,False,True,False,0,1,0.5170811225748434,0,0.4616502302274639
15.0,1,1,1,1,1.3333333333333333,2,1,1,1,5.303304908059076,8.294299608857235,9.0,37.0,1.0,1,False,False,False,False,True,False,False,False,False,0,0,0.2011427450785363,0,0.15331162830445386
