folio,nro,depto,area,factor,upm,estrato,sexo,edad,parentesco,idioma_materno,indigena,lee_escribe,nivel_educ,se_matriculo,nivel_matricula,asiste_clases,en_vacaciones,anios_estudio,trabajo,categoria_ocup,ingreso_lab,salario_liq,asistencia_escolar,sexo_bin,indigena_bin,idioma_originario,lee_escribe_bin,trabajo_bin,depto_viv,area_viv,totper,mat_pared,mat_techo,mat_piso,procedencia_agua,tipo_banio,desague_banio,electricidad,combustible_cocina,n_cuartos,n_cuartos_dormir,internet,alquiler_estimado,hacinamiento,acceso_agua,acceso_electricidad,acceso_banio,indice_servicios,piso_adecuado,pared_adecuada,internet_bin,jefe_sexo,jefe_edad,jefe_nivel_educ,jefe_anios_estudio,jefe_categoria_ocup,jefe_ingreso_lab,ingreso_total_hogar,ingreso_percapita,log_ingreso_pc,log_alquiler,depto_nombre,area_nombre
111-000135-A-0091,2.0,1.0,1.0,123.97995011625682,111-000135-A,111,2.0,19.0,6.0,6.0,2.0,1.0,42.0,1.0,42.0,4.0,,11.0,2.0,,,,0,0,0,1,1,0,1.0,1.0,2.0,1.0,3.0,8.0,2.0,5.0,,1.0,4.0,3.0,2.0,2.0,500.0,0.6666666666666666,1,1,1,3,1,1,0,2.0,62.0,11.0,0.0,3.0,400.0,400.0,200.0,5.303304908059076,6.2166061010848646,Chuquisaca,Urbana
111-000135-A-0121,3.0,1.0,1.0,123.97995011625682,111-000135-A,111,1.0,7.0,3.0,6.0,2.0,1.0,41.0,1.0,41.0,4.0,,1.0,2.0,,,,0,1,0,1,1,0,1.0,1.0,5.0,1.0,3.0,5.0,1.0,2.0,,1.0,4.0,2.0,1.0,1.0,500.0,2.5,1,1,1,3,1,1,1,1.0,30.0,42.0,9.0,1.0,,0.0,0.0,0.0,6.2166061010848646,Chuquisaca,Urbana
111-000135-A-0121,4.0,1.0,1.0,123.97995011625682,111-000135-A,111,2.0,13.0,4.0,6.0,2.0,1.0,41.0,1.0,42.0,4.0,,6.0,2.0,,,,0,0,0,1,1,0,1.0,1.0,5.0,1.0,3.0,5.0,1.0,2.0,,1.0,4.0,2.0,1.0,1.0,500.0,2.5,1,1,1,3,1,1,1,1.0,30.0,42.0,9.0,1.0,,0.0,0.0,0.0,6.2166061010848646,Chuquisaca,Urbana
111-000135-A-0121,5.0,1.0,1.0,123.97995011625682,111-000135-A,111,1.0,11.0,4.0,6.0,2.0,1.0,41.0,1.0,41.0,4.0,,5.0,2.0,,,,0,1,0,1,1,0,1.0,1.0,5.0,1.0,3.0,5.0,1.0,2.0,,1.0,4.0,2.0,1.0,1.0,500.0,2.5,1,1,1,3,1,1,1,1.0,30.0,42.0,9.0,1.0,,0.0,0.0,0.0,6.2166061010848646,Chuquisaca,Urbana
111-000135-A-0131,1.0,1.0,1.0,123.97995011625682,111-000135-A,111,1.0,19.0,1.0,6.0,2.0,1.0,63.0,1.0,63.0,4.0,,10.0,1.0,1.0,,840.0,0,1,0,1,1,1,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,4.0,1.0,3.0,1.0,0.0,2.0,500.0,1.0,1,1,1,3,1,1,0,1.0,19.0,63.0,10.0,1.0,,0.0,0.0,0.0,6.2166061010848646,Chuquisaca,Urbana
111-000200-A-0121,3.0,1.0,1.0,247.95990023251363,111-000200-A,111,1.0,13.0,3.0,6.0,2.0,1.0,42.0,1.0,42.0,1.0,,7.0,2.0,,,,1,1,0,1,1,0,1.0,1.0,5.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,300.0,2.5,1,1,1,3,1,1,1,2.0,32.0,32.0,12.0,1.0,,1000.0,200.0,5.303304908059076,5.707110264748875,Chuquisaca,Urbana
111-000200-A-0121,4.0,1.0,1.0,247.95990023251363,111-000200-A,111,1.0,9.0,3.0,6.0,2.0,1.0,41.0,1.0,41.0,1.0,,3.0,2.0,,,,1,1,0,1,1,0,1.0,1.0,5.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,300.0,2.5,1,1,1,3,1,1,1,2.0,32.0,32.0,12.0,1.0,,1000.0,200.0,5.303304908059076,5.707110264748875,Chuquisaca,Urbana
111-000200-A-0151,3.0,1.0,1.0,247.95990023251363,111-000200-A,111,2.0,11.0,3.0,6.0,2.0,1.0,41.0,1.0,41.0,1.0,,5.0,2.0,,,,1,0,0,1,1,0,1.0,1.0,5.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,500.0,1.25,1,1,1,3,1,1,0,2.0,30.0,42.0,12.0,3.0,400.0,400.0,80.0,4.394449154672439,6.2166061010848646,Chuquisaca,Urbana
111-000200-A-0151,4.0,1.0,1.0,247.95990023251363,111-000200-A,111,1.0,7.0,3.0,6.0,2.0,1.0,41.0,1.0,41.0,1.0,,1.0,2.0,,,,1,1,0,1,1,0,1.0,1.0,5.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,500.0,1.25,1,1,1,3,1,1,0,2.0,30.0,42.0,12.0,3.0,400.0,400.0,80.0,4.394449154672439,6.2166061010848646,Chuquisaca,Urbana
111-000200-A-0181,6.0,1.0,1.0,247.95990023251363,111-000200-A,111,1.0,16.0,3.0,6.0,2.0,1.0,42.0,1.0,42.0,1.0,,9.0,2.0,,,,1,1,0,1,1,0,1.0,1.0,6.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,1500.0,1.5,1,1,1,3,1,1,1,2.0,47.0,23.0,12.0,,,8580.0,1430.0,7.266128779556451,7.313886831633462,Chuquisaca,Urbana
